ID Caso,Código DANE de Municipio,Municipio,Departamento,Año,Mes,Día,ID Persona,Sexo,Etnia,Ocupación,Calidad de la Víctima o la Baja,Tipo de Población Vulnerable,Militante Político,Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Situación Actual de la Víctima,Fuente de Información de la Desaparición,Edad,latitud-longitud
231391,23807,TIERRALTA,CORDOBA,1996,8,26,252666,HOMBRE,,SIN INFORMACIÓN,CIVIL,OTRA ¿CUÁL?,,,,DESAPARECIDO,,ADULTEZ (29-59 AÑOS),POINT (-76.16846678 7.813896829)
231392,20550,PELAYA,CESAR,1996,8,26,252667,HOMBRE,,COMERCIANTE,CIVIL,MAESTRO O EDUCADOR,,,,APARECIÓ MUERTO,ENTIDAD PÚBLICA,ADULTEZ (29-59 AÑOS),POINT (-73.666451 8.689006)
231393,05088,BELLO,ANTIOQUIA,1996,8,26,252668,HOMBRE,,TRABAJO SIN ESPECIFICAR,CIVIL,,,,,DESAPARECIDO,,ADULTEZ (29-59 AÑOS),POINT (-75.58973588 6.358841086)
231394,27800,UNGUIA,CHOCO,1996,8,26,252669,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,APARECIÓ MUERTO,FAMILIARES O COMUNIDAD,JUVENTUD (18-28 AÑOS),POINT (-77.10372723 8.117281079)
231395,05172,CHIGORODO,ANTIOQUIA,1996,8,27,252670,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-76.63964213 7.631665644)
231397,23807,TIERRALTA,CORDOBA,1996,8,27,252672,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-76.16846678 7.813896829)
231400,05837,TURBO,ANTIOQUIA,1996,8,28,252675,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-76.5740377 8.173851745)
231401,23807,TIERRALTA,CORDOBA,1996,8,28,252676,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,INFANCIA (6-11 AÑOS),POINT (-76.16846678 7.813896829)
231406,23807,TIERRALTA,CORDOBA,1996,8,28,252681,MUJER,,ECONOMÍA INFORMAL,CIVIL,,,,,SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN,,ADULTEZ (29-59 AÑOS),POINT (-76.16846678 7.813896829)
279622,05790,TARAZA,ANTIOQUIA,2007,1,19,300897,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-75.40189438 7.488875998)
